area_type,availability,location,size,total_sqft,bath,balcony,price
Super built-up  Area,Ready To Move,OMBR Layout,3 BHK,1730,3.0,1.0,93.0
Super built-up  Area,20-Jan,Balagere,2 BHK,1205,2.0,1.0,63.86
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,2500,5.0,2.0,175.0
Super built-up  Area,Ready To Move,Subramanyapura,2 BHK,960,2.0,1.0,55.0
Super built-up  Area,18-Jul,Haralur Road,3 BHK,1510,3.0,2.0,83.05
Built-up  Area,Ready To Move,Kanaka Nagar,4 Bedroom,1600,4.0,2.0,90.0
Built-up  Area,Ready To Move,Old Madras Road,3 Bedroom,2300,3.0,2.0,142.0
Built-up  Area,Ready To Move,Jakkasandra Extension,2 BHK,1000,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Poorna Pragna Layout,2 BHK,1160,2.0,1.0,46.39
Super built-up  Area,19-Sep,Hormavu,3 BHK,1553,2.0,2.0,58.23
Super built-up  Area,18-Aug,Seegehalli,2 BHK,1134,2.0,2.0,45.0
Plot  Area,Ready To Move,Nagasandra,4 Bedroom,600,4.0,2.0,80.0
Plot  Area,Ready To Move,Horamavu Agara,5 Bedroom,2400,3.0,3.0,80.0
Plot  Area,18-Nov,Whitefield,4 Bedroom,2400,4.0,1.0,143.0
Super built-up  Area,Ready To Move,Nagashetty Halli,2 BHK,1350,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Sarjapur,2 BHK,1032,2.0,1.0,42.0
Super built-up  Area,Ready To Move,Tigalarpalya,3 BHK,1998,3.0,2.0,117.0
Super built-up  Area,18-Aug,Murugeshpalya,2 BHK,1225,2.0,2.0,48.0
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,1262,2.0,2.0,67.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1842,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Thomas Town,2 BHK,1300,2.0,2.0,60.0
Super built-up  Area,18-Jun,Kothannur,2 BHK,1070,2.0,2.0,38.6
Built-up  Area,21-Dec,"Electronic city Phase 1, ",2 BHK,950,2.0,1.0,33.0
Super built-up  Area,18-Mar,Balagere,2 BHK,1012,2.0,1.0,53.58
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1000,2.0,0.0,70.0
Super built-up  Area,Ready To Move,Kadugodi,2 BHK,1394,2.0,2.0,56.0
Super built-up  Area,Ready To Move,Amruthahalli,3 BHK,1450,2.0,1.0,85.0
Super built-up  Area,Ready To Move, Banaswadi,1 RK,527,1.0,0.0,35.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1693,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Horamavu Agara,2 BHK,1000,2.0,1.0,46.0
Built-up  Area,Ready To Move,Kogilu,2 BHK,952,2.0,2.0,49.0
Super built-up  Area,Ready To Move,Kengeri,1 BHK,1200,1.0,1.0,14.0
Super built-up  Area,19-Apr,Mysore Road,3 BHK,1410,2.0,2.0,64.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,2 BHK,1400,2.0,2.0,108.0
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,3056,5.0,2.0,100.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1826,3.0,2.0,125.0
Super built-up  Area,18-Jun,Hosur Road,3 BHK,1689,3.0,2.0,103.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,31.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,960,2.0,1.0,48.0
Built-up  Area,Ready To Move,Channasandra,2 BHK,808,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,907,2.0,2.0,38.5
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1300,2.0,2.0,55.0
Super built-up  Area,Ready To Move,Sector 1 HSR Layout,3 BHK,1804,3.0,2.0,150.0
Super built-up  Area,Ready To Move,Naidu Layout,3 BHK,1350,3.0,2.0,81.0
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1836,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Sugama Layout,2 BHK,826,2.0,2.0,36.0
Super built-up  Area,Ready To Move,Hormavu,2 BHK,1200,2.0,3.0,68.0
Super built-up  Area,Ready To Move,6th Phase JP Nagar,2 BHK,1460,2.0,2.0,80.0
Plot  Area,Ready To Move,Hoskote,4 Bedroom,1200,4.0,3.0,140.0
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,965,2.0,2.0,56.0
Carpet  Area,Ready To Move,Kothannur,4 Bedroom,2000,4.0,2.0,95.0
Super built-up  Area,Ready To Move,Bhoganhalli,3 BHK,1395,2.0,2.0,70.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1660,3.0,2.0,116.0
Super built-up  Area,Ready To Move,Kada Agrahara,2 BHK,935,2.0,2.0,35.0
Super built-up  Area,Ready To Move,Hongasandra,2 BHK,1180,2.0,1.0,39.0
Built-up  Area,18-Dec,Electronic City,2 BHK,1090,2.0,1.0,31.48
Super built-up  Area,19-Jan,Kanakpura Road,2 BHK,1204,2.0,1.0,82.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4.0,2.0,153.0
Built-up  Area,Ready To Move,Haralur Road,2 BHK,1056,2.0,1.0,65.0
Super built-up  Area,18-Dec,Hebbal,2 BHK,985,2.0,2.0,62.0
Super built-up  Area,Ready To Move,Banashankari Stage V,3 BHK,1315,2.0,2.0,49.0
Built-up  Area,Ready To Move,KR Puram,2 BHK,734,2.0,1.0,22.0
Built-up  Area,Ready To Move,Kammanahalli,4 Bedroom,2900,4.0,2.0,200.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,2317,4.0,3.0,140.0
Built-up  Area,Ready To Move,Singasandra,1 Bedroom,600,1.0,0.0,45.0
Built-up  Area,Ready To Move,Vishwanatha Nagenahalli,4 Bedroom,2200,3.0,0.0,115.0
Super built-up  Area,Ready To Move,Attibele,2 BHK,656,2.0,1.0,25.0
Built-up  Area,Ready To Move,Attibele,1 BHK,400,1.0,1.0,11.5
Super built-up  Area,Ready To Move,Yeshwanthpur,1 BHK,666,1.0,1.0,36.8
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1174,2.0,1.0,47.0
Super built-up  Area,Ready To Move,Budigere,2 BHK,1153,2.0,2.0,56.7
Plot  Area,Ready To Move,Jalahalli,4 Bedroom,1000,4.0,1.0,90.0
Built-up  Area,Ready To Move,Narayanapura,5 BHK,2400,5.0,2.0,85.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,957,2.0,1.0,47.0
Built-up  Area,Ready To Move,Banashankari Stage III,2 BHK,910,2.0,2.0,160.0
Built-up  Area,17-Dec,Sarjapur  Road,2 BHK,1060,2.0,1.0,50.0
Super built-up  Area,18-Jul,Banashankari,2 BHK,1000,2.0,1.0,50.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,88.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1150,2.0,2.0,40.25
Super built-up  Area,18-Sep,Chandapura,3 BHK,1230,2.0,2.0,31.37
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1703,3.0,2.0,130.0
Super built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1125,2.0,1.0,41.5
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,1516,3.0,3.0,65.0
Super built-up  Area,Ready To Move,Brookefield,2 BHK,1130,2.0,2.0,56.0
Super built-up  Area,19-Jun,Hosa Road,3 BHK,1512,3.0,2.0,103.0
Built-up  Area,Ready To Move,Thanisandra,3 BHK,1491,3.0,1.0,88.0
Super built-up  Area,Ready To Move,Cox Town,2 BHK,1250,2.0,2.0,95.0
Super built-up  Area,18-Aug,Banashankari,3 BHK,1650,3.0,2.0,90.75
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,1.0,48.7
Plot  Area,Ready To Move,Behind Don Bosco Church,4 Bedroom,1200,4.0,1.0,110.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1881,3.0,2.0,95.0
Super built-up  Area,21-Dec,Kanakpura Road,3 BHK,1100,3.0,2.0,56.57
Super built-up  Area,Ready To Move,Iblur Village,3 BHK,2666,4.0,1.0,200.0
Super built-up  Area,Ready To Move,Bagalur,2 BHK,1500,2.0,1.0,50.0
Super built-up  Area,18-Dec,Seshadripuram,2 BHK,1217,2.0,1.0,164.0
Built-up  Area,Ready To Move,Whitefield,2 BHK,1197,2.0,1.0,50.0
Built-up  Area,Ready To Move,BHEL Layout,6 Bedroom,2400,4.0,1.0,170.0
Built-up  Area,Ready To Move,Gollarapalya Hosahalli,3 BHK,1345,3.0,2.0,60.0
Plot  Area,Ready To Move,KR Puram,4 Bedroom,1200,4.0,2.0,100.0
Super built-up  Area,Ready To Move,Bannerghatta Road,4 BHK,3230,5.0,0.0,165.0
Super built-up  Area,Ready To Move,Banashankari Stage II,3 BHK,1260,2.0,1.0,95.0
Plot  Area,Ready To Move,9th Phase JP Nagar,2 Bedroom,1200,2.0,0.0,80.0
Built-up  Area,Ready To Move,Devara Jeevanahalli,3 Bedroom,1650,3.0,0.0,52.0
Super built-up  Area,Ready To Move,1st Block HBR Layout,1 BHK,600,1.0,0.0,45.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1025,2.0,1.0,35.88
Super built-up  Area,18-Dec,Sarjapur,4 BHK,1925 - 2680,2.0,2.0,80.59
Super built-up  Area,Ready To Move,Hennur Road,2 BHK,973,2.0,1.0,56.0
Super built-up  Area,Ready To Move,Balagere,2 BHK,1007,2.0,1.0,75.0
Super built-up  Area,19-Mar,Hosa Road,1 BHK,615 - 985,1.0,0.0,39.99
Built-up  Area,18-Dec,Sarjapur  Road,3 Bedroom,1830,3.0,1.0,119.0
Super built-up  Area,Ready To Move,Nagavara,2 BHK,1077,2.0,1.0,50.0
Plot  Area,Ready To Move,Immadihalli,1 Bedroom,672,1.0,1.0,27.0
Plot  Area,Ready To Move,Shanthi Layout,3 Bedroom,1280,3.0,0.0,87.0
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,865,2.0,0.0,40.0
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,1000,2.0,2.0,33.0
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,1285,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,662,1.0,1.0,29.0
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1850,3.0,3.0,95.0
Super built-up  Area,Ready To Move,Harlur,3 BHK,1754,3.0,2.0,132.0
Plot  Area,Ready To Move,Hennur Bande,5 Bedroom,1200,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Anugrah Layout,3 BHK,1567,3.0,1.0,100.0
Super built-up  Area,Ready To Move,Hoskote,3 BHK,1695,3.0,3.0,50.0
Plot  Area,Ready To Move,Hosahalli Extension,2 Bedroom,360,2.0,1.0,40.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1150,2.0,1.0,69.44
Super built-up  Area,Ready To Move,Akshaya Nagar,3 BHK,1690,3.0,2.0,85.0
Built-up  Area,18-Mar,1st Block Koramangala,3 BHK,2350,3.0,2.0,210.0
Super built-up  Area,Ready To Move,Karuna Nagar,2 BHK,1057,2.0,1.0,65.0
Super built-up  Area,19-Dec,Hebbal,2 BHK,1320,2.0,1.0,91.0
Super built-up  Area,18-Jul,Bhoganhalli,4 BHK,2119,4.0,3.0,111.0
Super built-up  Area,Ready To Move,Bandepalya,2 BHK,1125,2.0,1.0,48.0
Super built-up  Area,18-Aug,Kanakpura Road,3 BHK,2254,3.0,2.0,170.0
Super built-up  Area,20-Jan,Balagere,1 BHK,645,1.0,1.0,34.18
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2.0,2.0,52.08
Super built-up  Area,18-May,Panathur,2 BHK,1040,2.0,1.0,41.6
Super built-up  Area,18-Jun,Sarjapur  Road,3 BHK,1700,3.0,1.0,194.0
Super built-up  Area,Ready To Move,1st Block Jayanagar,3 BHK,1760,3.0,2.0,115.0
Super built-up  Area,19-Mar,Bellandur,3 BHK,1138,3.0,2.0,128.0
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,984,2.0,1.0,45.91
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,2.0,38.65
Super built-up  Area,19-Dec,Whitefield,3 BHK,3596,3.0,1.0,200.0
Super built-up  Area,Ready To Move,Kalkere,3 BHK,1365,3.0,2.0,54.0
Super built-up  Area,Ready To Move,Bethel Nagar,1 BHK,560,1.0,0.0,19.0
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,1404,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Bellandur,4 BHK,1540,4.0,3.0,45.0
Built-up  Area,Ready To Move,Electronic City,3 BHK,1050,2.0,1.0,39.0
Plot  Area,Ready To Move,Lingarajapuram,4 Bedroom,360,4.0,3.0,37.0
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,1550,3.0,3.0,72.5
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,1653,3.0,3.0,93.0
Super built-up  Area,Ready To Move,Parappana Agrahara,2 BHK,1194,2.0,2.0,47.0
Super built-up  Area,Ready To Move,Narayana Nagar 1st Block,3 BHK,1471,2.0,3.0,75.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,700,2.0,1.0,35.0
Built-up  Area,Ready To Move,Kudlu Gate,2 BHK,812,2.0,1.0,38.25
Super built-up  Area,Ready To Move,8th Phase JP Nagar,3 BHK,1504,2.0,2.0,83.0
Super built-up  Area,Ready To Move,Mahadevpura,3 BHK,1450,3.0,2.0,75.0
Super built-up  Area,Ready To Move,Kannamangala,2 BHK,957,2.0,2.0,54.5
Carpet  Area,Ready To Move,Attibele,1 BHK,460,1.0,1.0,13.0
Plot  Area,Ready To Move,poornaprajna layout,2 Bedroom,900,2.0,0.0,128.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1050,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Budigere,3 BHK,1820,3.0,2.0,85.0
Super built-up  Area,19-Dec,Varthur Road,2 BHK,1033,2.0,2.0,32.0
Plot  Area,Ready To Move,Kumaraswami Layout,2 Bedroom,800,1.0,1.0,90.0
Plot  Area,Ready To Move,Kadabagere,1 Bedroom,520,2.0,0.0,29.0
Super built-up  Area,Ready To Move,OMBR Layout,2 BHK,1165,2.0,2.0,88.5
Super built-up  Area,Ready To Move,Gottigere,2 BHK,1280,2.0,1.0,61.0
Plot  Area,Ready To Move,BTM 4th Stage,1 Bedroom,600,1.0,0.0,58.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,65.1
Super built-up  Area,Ready To Move,Nagavarapalya,2 BHK,1392,2.0,1.0,130.0
Super built-up  Area,Ready To Move,Jigani,3 BHK,1221,3.0,3.0,75.0
Super built-up  Area,Ready To Move,AMS Layout,1 BHK,1000,1.0,1.0,19.0
Built-up  Area,Ready To Move,KR Garden,2 BHK,1300,2.0,2.0,60.0
Built-up  Area,Ready To Move,Hoskote,2 BHK,1065,2.0,3.0,31.5
Built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1209,2.0,3.0,65.0
Plot  Area,Ready To Move,BTM 1st Stage,1 Bedroom,375,1.0,0.0,40.0
Super built-up  Area,19-Mar,Sarjapur  Road,3 BHK,1929,4.0,1.0,101.0
Built-up  Area,Ready To Move,Hennur Road,2 BHK,1255,2.0,1.0,84.0
Super built-up  Area,19-Dec,Jalahalli,2 BHK,1035,2.0,1.0,31.05
Super built-up  Area,18-May,Banashankari,3 BHK,1650,3.0,2.0,101.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,1275,2.0,3.0,65.0
Super built-up  Area,18-Aug,Electronic City,2 BHK,1128,2.0,1.0,65.58
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1140,2.0,2.0,38.55
Plot  Area,Ready To Move,OMBR Layout,4 Bedroom,1200,4.0,2.0,200.0
Super built-up  Area,21-Nov,Thanisandra,2 BHK,1183,2.0,2.0,58.56
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1155,2.0,1.0,39.0
Super built-up  Area,Ready To Move,Kengeri,3 BHK,1245,2.0,2.0,43.57
Built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1000,2.0,1.0,38.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,1040,2.0,1.0,75.0
Super built-up  Area,Ready To Move,Ardendale,4 BHK,2062,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,1477,2.0,2.0,75.0
Plot  Area,17-Aug,Nagadevanahalli,4 Bedroom,1050,3.0,3.0,85.0
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,1525,2.0,2.0,65.0
Plot  Area,Immediate Possession,Carmelaram,2 BHK,2000,2.0,2.0,120.0
Super built-up  Area,Ready To Move,Kaverappa Layout,2 BHK,1220,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,2388,3.0,1.0,195.0
Super built-up  Area,18-Apr,Electronic City,2 BHK,1355,2.0,1.0,97.6
Built-up  Area,Ready To Move,Whitefield,2 BHK,1141,2.0,1.0,62.0
Super built-up  Area,21-Jun,Vijayanagar,2 BHK,1046,2.0,0.0,49.06
Super built-up  Area,Ready To Move,Bannerghatta Road,1 BHK,630,1.0,2.0,35.0
Super built-up  Area,Ready To Move,Pattandur Agrahara,2 BHK,1247,2.0,2.0,62.35
Built-up  Area,Ready To Move,Marathahalli,4 BHK,3855,4.0,3.0,220.0
Super built-up  Area,Ready To Move,Geddalahalli,2 BHK,850,2.0,1.0,32.5
Super built-up  Area,Ready To Move,KR Puram,2 BHK,1120,2.0,2.0,36.0
Super built-up  Area,18-Aug,Jakkur,3 BHK,1798,3.0,1.0,110.0
Built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1180,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Kereguddadahalli,2 BHK,1000,2.0,1.0,34.0
Super built-up  Area,19-Mar,Whitefield,2 BHK,1216,2.0,1.0,82.0
Built-up  Area,Ready To Move,Margondanahalli,2 Bedroom,900,2.0,0.0,65.0
Built-up  Area,Ready To Move,TC Palaya,2 Bedroom,1100,2.0,0.0,65.0
Super built-up  Area,20-Jan,Badavala Nagar,3 BHK,1842,3.0,2.0,115.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,1075,2.0,1.0,43.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1495,3.0,3.0,88.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1700,3.0,3.0,120.0
Super built-up  Area,20-Dec,Whitefield,3 BHK,1564,3.0,1.0,103.0
Super built-up  Area,18-Apr,Reliaable Tranquil Layout,2 BHK,1256,2.0,1.0,65.0
Super built-up  Area,18-Jun,Kundalahalli,2 BHK,1047,2.0,1.0,89.0
Super built-up  Area,18-Apr,Bhoganhalli,3 BHK,1458,3.0,1.0,78.45
Super built-up  Area,19-Dec,Hoodi,2 BHK,1063,2.0,1.0,61.17
Super built-up  Area,Ready To Move,Garudachar Palya,2 BHK,1150,2.0,1.0,52.5
Built-up  Area,Ready To Move,Chandapura,1 BHK,450,1.0,1.0,9.0
Built-up  Area,Ready To Move,Ramamurthy Nagar,2 BHK,1360,2.0,0.0,45.0
Built-up  Area,Ready To Move,Marathahalli,3 BHK,1605,3.0,2.0,76.0
Carpet  Area,Ready To Move,Nagarbhavi,3 BHK,1200,4.0,2.0,205.0
Super built-up  Area,18-Aug,Haralur Road,3 BHK,1810,3.0,2.0,100.0
Super built-up  Area,18-Aug,LB Shastri Nagar,2 BHK,1250,2.0,2.0,48.5
Super built-up  Area,Ready To Move,Poorna Pragna Layout,3 BHK,1475,2.0,2.0,58.99
Built-up  Area,Ready To Move,R.T. Nagar,2 Bedroom,1100,3.0,0.0,125.0
Super built-up  Area,18-Dec,Dommasandra,2 BHK,850,2.0,1.0,25.4
Built-up  Area,18-Jul,Electronic City Phase II,2 BHK,1025,2.0,1.0,26.65
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,980,2.0,1.0,45.0
Super built-up  Area,Ready To Move,Basavanagara,3 BHK,1428,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Shanti Nagar,2 BHK,1130,2.0,2.0,74.0
Super built-up  Area,19-Jul,Kanakpura Road,3 BHK,1592,3.0,2.0,125.0
Super built-up  Area,Ready To Move,JP Nagar,3 BHK,2050,3.0,3.0,82.0
Super built-up  Area,Ready To Move,Bagalur,2 BHK,1407,2.0,1.0,83.87
Super built-up  Area,Ready To Move,Whitefield,3 BHK,1585,3.0,1.0,84.0
Built-up  Area,Ready To Move,Jakkur,3 BHK,1785,3.0,2.0,130.0
Built-up  Area,Ready To Move,BSM Extension,2 BHK,900,2.0,3.0,45.0
Plot  Area,Ready To Move,Somanna Garden,4 Bedroom,1350,4.0,2.0,160.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1843,3.0,2.0,96.2
Super built-up  Area,Ready To Move,RPC layout,2 BHK,1200,2.0,1.0,67.0
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,1113,2.0,1.0,52.0
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,1125,2.0,1.0,47.0
Plot  Area,18-Jul,Whitefield,3 Bedroom,1200,3.0,1.0,56.0
Super built-up  Area,Ready To Move,Anekal,3 BHK,1150,3.0,2.0,45.0
Super built-up  Area,Ready To Move,Yeshwanthpur,2 BHK,770,1.0,1.0,70.0
Super built-up  Area,Ready To Move,Kodichikkanahalli,2 BHK,1181,2.0,2.0,57.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1550,3.0,3.0,64.7
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,1200,2.0,2.0,86.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1295,2.0,2.0,55.47
Plot  Area,Ready To Move,Kenchenahalli,3 Bedroom,480,3.0,3.0,65.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,1506,3.0,1.0,95.0
Built-up  Area,Ready To Move,"HSR Layout 7th sector, ",3 BHK,1872,3.0,2.0,152.0
Super built-up  Area,18-Jun,Abbigere,3 BHK,1326,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Talaghattapura,2 BHK,1040,2.0,1.0,33.28
Plot  Area,Ready To Move,Bettadasanapura,5 Bedroom,1200,5.0,1.0,90.0
Super built-up  Area,Ready To Move,Hennur,2 BHK,1020,2.0,1.0,48.0
Super built-up  Area,Ready To Move,Gokula Extension,3 BHK,1400,3.0,2.0,90.0
Super built-up  Area,Ready To Move,Neeladri Nagar,10 BHK,4000,12.0,2.0,160.0
Plot  Area,Ready To Move,Weavers Colony,1 Bedroom,812,1.0,1.0,26.0
Super built-up  Area,Ready To Move,Vidyaranyapura,2 BHK,1100,2.0,1.0,54.0
Super built-up  Area,19-Aug,Kodathi,2 BHK,829,2.0,1.0,22.8
Plot  Area,Ready To Move,Vijayanagar,5 Bedroom,750,4.0,3.0,95.0
Super built-up  Area,21-May,Kanakpura Road,3 BHK,1500,3.0,1.0,72.99
Built-up  Area,Ready To Move,Ananth Nagar,2 BHK,850,2.0,1.0,25.99
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,1180,2.0,2.0,60.0
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2215,4.0,2.0,150.0
Super built-up  Area,Ready To Move,Channasandra,2 BHK,1010,2.0,1.0,36.0
Built-up  Area,Ready To Move,Marathahalli,2 BHK,1350,2.0,2.0,60.0
Built-up  Area,Ready To Move,Talaghattapura,2 BHK,1100,2.0,0.0,50.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,1450,2.0,2.0,62.93
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,1133,2.0,2.0,40.0
Super built-up  Area,Ready To Move,Thanisandra,3 BHK,1564,3.0,2.0,100.0
Plot  Area,Ready To Move,Doddaballapur,2 Bedroom,640,1.0,0.0,10.5
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,2072,4.0,2.0,157.0
Plot  Area,Ready To Move,Rajaji Nagar,2 Bedroom,432,2.0,1.0,65.0
Super built-up  Area,Ready To Move,Kanakapura,3 BHK,1460,2.0,3.0,51.1
Super built-up  Area,Ready To Move,A Narayanapura,1 BHK,600,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Rachenahalli,2 BHK,1050,2.0,2.0,52.07
Built-up  Area,21-Dec,"Judicial Layout, Kanakapura Road, ",2 BHK,700,2.0,1.0,35.0
Plot  Area,Ready To Move,TC Palaya,3 Bedroom,1200,3.0,0.0,66.0
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,654,1.0,1.0,38.0
Super built-up  Area,Ready To Move,Ankappa Layout,2 BHK,1105,2.0,2.0,50.0
Super built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,1800,3.0,3.0,150.0
Plot  Area,Ready To Move,Yelachenahalli,2 Bedroom,1200,2.0,2.0,160.0
Super built-up  Area,Ready To Move,Kogilu,1 BHK,700,1.0,1.0,30.84
Super built-up  Area,Ready To Move,Amruthnagar,2 BHK,1000,2.0,1.0,51.0
Super built-up  Area,18-Apr,Gattahalli,3 BHK,1240,2.0,1.0,63.0
Super built-up  Area,Ready To Move,Bellandur,2 BHK,1200,2.0,3.0,45.0
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,1400,2.0,2.0,80.0
Super built-up  Area,Ready To Move,HOSUR MAIN ROAD,3 BHK,1393,3.0,2.0,54.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,1140,2.0,2.0,50.0
Plot  Area,Ready To Move,Sahakara Nagar,5 Bedroom,1000,5.0,2.0,130.0
Built-up  Area,Ready To Move,Gulimangala,3 BHK,1640,3.0,2.0,70.0
Plot  Area,Ready To Move,Kithaganur,2 Bedroom,1200,2.0,0.0,62.0
Built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,720,2.0,2.0,65.0
Super built-up  Area,Ready To Move,Yelenahalli,3 BHK,1650,3.0,3.0,68.0
Super built-up  Area,Ready To Move,Nagavara,4 BHK,2496,4.0,2.0,125.0
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,905,2.0,1.0,32.0
Super built-up  Area,Ready To Move,HAL 2nd Stage,3 BHK,1600,3.0,1.0,125.0
Super built-up  Area,17-Apr,Chikkalasandra,2 BHK,1070,2.0,1.0,45.48
Built-up  Area,Ready To Move,Koramangala,2 BHK,1200,2.0,2.0,100.0
Built-up  Area,Ready To Move,8th Phase JP Nagar,4 Bedroom,2600,4.0,2.0,115.0
Super built-up  Area,Ready To Move,Old Airport Road,2 BHK,1145,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Addischetan Layout,3 BHK,1495,3.0,2.0,55.0
Built-up  Area,Ready To Move,Stage-4 Bommanahalli,3 BHK,1400,3.0,2.0,53.0
Built-up  Area,18-Dec,Whitefield,3 BHK,1558,3.0,2.0,90.0
Super built-up  Area,20-Jan,Balagere,2 BHK,1007,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,902,2.0,1.0,25.26
Super built-up  Area,Ready To Move,Kallumantapa,2 BHK,1054,2.0,1.0,53.0
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,1135,2.0,3.0,39.73
Super built-up  Area,Ready To Move,Gollarapalya Hosahalli,2 BHK,996,2.0,2.0,49.0
Super built-up  Area,18-Aug,Vimanapura,2 BHK,1275,2.0,2.0,47.0
